index	stage	ts_us	relative_ts_us	dur_us	cat	name	pid	tid	external_id	correlation	ph
1921	decode	4352586498423.146	1719464.5717773438	5.091	privateuse1_driver	muLaunchKernel	31003	31003	7430	145809	X
1922	decode	4352586498465.462	1719506.8876953125	3.675	privateuse1_driver	muLaunchKernel	31003	31003	7432	145825	X
1923	decode	4352586498465.686	1719507.1118164062	9.64	kernel	triton_poi_fused_add_cat_index_select_mul_split_sub_unsqueeze_view_0	0	0	7430	145809	X
1924	decode	4352586498484.007	1719525.4326171875	8.2	kernel	triton_poi_fused_add_cat_index_select_mul_split_sub_unsqueeze_view_1	0	0	7432	145825	X
1925	decode	4352586498636.43	1719677.8559570312	6.904	privateuse1_runtime	musaLaunchKernel	31003	31003	7441	145840	X
1926	decode	4352586498667.463	1719708.888671875	3.919	privateuse1_runtime	musaLaunchKernel	31003	31003	7447	145849	X
1927	decode	4352586498679.533	1719720.958984375	7.96	kernel	void at::native::(anonymous namespace)::IndexVectorizedKernel<at::native::(anonymous namespace)::GPUIndexKernel<c10::Half, 1, true, 3, true, (at::native::(anonymous namespace)::IndexKernelIOType)0>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(unsigned int, unsigned int, unsigned int)#1}, at::native::(anonymous namespace)::GPUIndexKernel<c10::Half, 1, true, 3, true, (at::native::(anonymous namespace)::IndexKernelIOType)0>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(unsigned int, unsigned int, unsigned int)#2}>(long, long, long, int, at::native::(anonymous namespace)::GPUIndexKernel<c10::Half, 1, true, 3, true, (at::native::(anonymous namespace)::IndexKernelIOType)0>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(unsigned int, unsigned int, unsigned int)#1}, at::native::(anonymous namespace)::GPUIndexKernel<c10::Half, 1, true, 3, true, (at::native::(anonymous namespace)::IndexKernelIOType)0>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(unsigned int, unsigned int, unsigned int)#2})	0	0	7441	145840	X
1928	decode	4352586498689.773	1719731.1987304688	6.321	kernel	void at::native::(anonymous namespace)::IndexVectorizedKernel<at::native::(anonymous namespace)::GPUIndexKernel<c10::Half, 1, true, 3, true, (at::native::(anonymous namespace)::IndexKernelIOType)0>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(unsigned int, unsigned int, unsigned int)#1}, at::native::(anonymous namespace)::GPUIndexKernel<c10::Half, 1, true, 3, true, (at::native::(anonymous namespace)::IndexKernelIOType)0>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(unsigned int, unsigned int, unsigned int)#2}>(long, long, long, int, at::native::(anonymous namespace)::GPUIndexKernel<c10::Half, 1, true, 3, true, (at::native::(anonymous namespace)::IndexKernelIOType)0>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(unsigned int, unsigned int, unsigned int)#1}, at::native::(anonymous namespace)::GPUIndexKernel<c10::Half, 1, true, 3, true, (at::native::(anonymous namespace)::IndexKernelIOType)0>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(unsigned int, unsigned int, unsigned int)#2})	0	0	7447	145849	X
1929	decode	4352586498849.983	1719891.4086914062	4.691	privateuse1_driver	muLaunchKernel	31003	31003		145866	X
1930	decode	4352586498892.38	1719933.8056640625	29.081	kernel	_fwd_grouped_kernel_stage1	0	0		145866	X
1931	decode	4352586498945.4	1719986.8256835938	3.535	privateuse1_driver	muLaunchKernel	31003	31003		145875	X
1932	decode	4352586498996.264	1720037.6899414062	5.04	kernel	_fwd_kernel_stage2	0	0		145875	X
1933	decode	4352586499034.001	1720075.4267578125	5.732	privateuse1_runtime	musaLaunchKernel	31003	31003	7458	145890	X
1934	decode	4352586499082.11	1720123.5356445312	4.136	privateuse1_runtime	musaLaunchKernel	31003	31003	7467	145896	X
1935	decode	4352586499083.067	1720124.4926757812	36.361	kernel	void musa::dnn::(anonymous namespace)::batch_gemv_row_continuous_kernel<__half, (musa::dnn::AlignAttr)1, 128, 64, 1024, false, true, 128>(__half*, __half const*, __half const*, __half const*, __half const*, int, int, int, int, long, int, long, int, long, int, long, float, float, float)	0	0	7458	145890	X
1936	decode	4352586499122.148	1720163.5737304688	8.64	kernel	void LayerNormGlobalKernelVlen<__half, float, 1024, 1, 8>(__half*, __half*, __half const*, unsigned long, unsigned long, float)	0	0	7467	145896	X
1937	decode	4352586499152.582	1720194.0078125	4.271	privateuse1_runtime	musaLaunchKernel	31003	31003	7473	145913	X
1938	decode	4352586499208.431	1720249.8569335938	145.285	kernel	void musa::dnn::(anonymous namespace)::batch_gemv_row_continuous_kernel<__half, (musa::dnn::AlignAttr)1, 128, 64, 1024, false, true, 128>(__half*, __half const*, __half const*, __half const*, __half const*, int, int, int, int, long, int, long, int, long, int, long, float, float, float)	0	0	7473	145913	X
1939	decode	4352586499215.282	1720256.7080078125	4.779	privateuse1_runtime	musaLaunchKernel	31003	31003	7483	145931	X
1940	decode	4352586499279.967	1720321.392578125	4.53	privateuse1_runtime	musaLaunchKernel	31003	31003	7490	145949	X
1941	decode	4352586499334.789	1720376.21484375	4.39	privateuse1_runtime	musaLaunchKernel	31003	31003	7499	145955	X
1942	decode	4352586499356.716	1720398.1416015625	7.8	kernel	void musa::dnn::(anonymous namespace)::KernelSwiGlu<__half, musa::dnn::FastDivmodU32>(__half*, __half const*, long, long, musa::dnn::FastDivmodU32)	0	0	7483	145931	X
1943	decode	4352586499366.196	1720407.6215820312	98.763	kernel	void musa::dnn::(anonymous namespace)::batch_gemv_row_continuous_kernel<__half, (musa::dnn::AlignAttr)1, 256, 32, 1024, false, true, 128>(__half*, __half const*, __half const*, __half const*, __half const*, int, int, int, int, long, int, long, int, long, int, long, float, float, float)	0	0	7490	145949	X
1944	decode	4352586499402.703	1720444.12890625	4.386	privateuse1_runtime	musaLaunchKernel	31003	31003	7505	145972	X
